songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=25325&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%A7%D9%86%D8%A7-%D8%A7%D9%8A%D9%87-%D9%86%D9%8A%D9%84%D9%89-%D9%85%D9%82%D8%AF%D8%B3%D9%8A"
lyrics: "لو يوم حبعد عنك انا هرتاح
.
web-scraper-order: "1528753238-116"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني مارسيل خليفة"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=marcel-khalife&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
songs: "كلمات اغنية صوت النار مارسيل خليفة"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=18449&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D8%B5%D9%88%D8%AA-%D8%A7%D9%84%D9%86%D8%A7%D8%B1-%D9%85%D8%A7%D8%B1%D8%B3%D9%8A%D9%84-%D8%AE%D9%84%D9%8A%D9%81%D8%A9"
lyrics: "صوت النار
.
web-scraper-order: "1528753605-237"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني علاء زلزلي"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=alaa-zalzaly&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%B9%D9%84%D8%A7%D8%A1-%D8%B2%D9%84%D8%B2%D9%84%D9%8A"
songs: "كلمات اغنية والله بحبيك علاء زلزلي"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=25421&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%84%D9%87-%D8%A8%D8%AD%D8%A8%D9%8A%D9%83-%D8%B9%D9%84%D8%A7%D8%A1-%D8%B2%D9%84%D8%B2%D9%84%D9%8A"
lyrics: "واللهي بحبك من قلبي والله والله
.
web-scraper-order: "1528753853-340"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني غيث محمد"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=ghith-mohameed&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%BA%D9%8A%D8%AB-%D9%85%D8%AD%D9%85%D8%AF"
songs: "كلمات اغنية يااحتياجى غيث محمد"
songs-href: "http://aghanilyrics.com/songlyrics.php?lyrics=14856&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D9%86%D9%8A%D8%A9-%D9%8A%D8%A7%D8%A7%D8%AD%D8%AA%D9%8A%D8%A7%D8%AC%D9%89-%D8%BA%D9%8A%D8%AB-%D9%85%D8%AD%D9%85%D8%AF"
lyrics: "يااحتياجي لو خسرت الكون
.
web-scraper-order: "1528753052-54"
web-scraper-start-url: "http://aghanilyrics.com/song-lyrics.php?en=Lebanon&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9"
artists: "كلمات اغاني ادهم سليمان"
artists-href: "http://aghanilyrics.com/allsongslyrics.php?songslyrics=adham-sleman&ar=%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D8%BA%D8%A7%D9%86%D9%8A-%D8%A7%D8%AF%D9%87%D9%85-%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86"
songs: "كلمات اغنية التحدى ادهم سليمان"
